id,kode,nama,categoryId,mitra,stok,modal,p1,p2,p3,p4,lokasiItem,lokasiStock,notes
1069,008321-478214,BALON HALOGEN OSRAM PELANGI,,,0,26000,42500,28600,30000,31500,,,
1038,052899-982482,BALON DPN OSRAM BEBEK 25 W,,5800,0,6000,12000,6600,6900,7200,,,
1039,052899-982529,BALON DPN OSRAM BEBEK 32W,,5400,0,6000,12000,6600,6900,7200,,,
16803,06141-GN5-505,RANTAI KAMPRAT AHM GRAND SET 84L,,,0,45425,57500,49000,52000,53000,,,
16866,06141-GN5-505-IP,RANTAI KAMPRAT IP GRAND/C800/PRIMA/SUPRA/WIN SET,,INDOPART,0,31185,40500,34500,36500,37500,,,
16806,06141-KRS-505,RANTAI KAMPRAT AHM LEGENDA SET 88L,,,0,47400,60000,51000,54000,55500,,,
16869,06141-KRS-505-IP,RANTAI KAMPRAT IP LEGENDA/SUPRA FIT SET,,INDOPART,0,31955,41500,35300,37400,38500,,,
16818,06141-KVB-505,RANTAI KAMPRAT AHM VARIO SET,,,0,93615,118500,101000,102000,109500,,,
16796,06141-KWB-505,RANTAI KAMPRAT AHM BLADE SET 90L,,,0,46610,59000,50150,53500,54500,,,
3675,06381-GF6-300,CONRODKIT AHM GRAND,,,0,177355,224500,191000,202500,207000,,,
3682,06381-KCN-300,CONRODKIT AHM TIGER TK2-B,,,0,395000,500000,425000,450000,460000,,,
3681,06381-KEV-880,CONRODKIT AHM SUPRA TK2-B,,,0,177355,224500,191000,202500,207000,,,
3677,06381-KFM-901,CONRODKIT AHM LEGENDA SUPRA FIT TK2-B,,,0,139830,177000,150500,159500,163000,,,
3676,06381-KPH-900,CONRODKIT AHM KARISMA SUPRA X 125 /F1 TK2-B,,,0,185255,234500,199400,211500,216000,,,
3683,06381-KVB-930,CONRODKIT AHM VARIO,,,0,145360,184000,156400,166000,169500,,,
3671,06381-KVY-960,CONRODKIT AHM BEAT,,,0,141410,179000,152150,161500,165000,,,
3673,06381-KWB-920,CONRODKIT AHM BLADE TK2-B,,,0,137460,174000,148000,157000,160500,,,
3674,06381-KWC-900,CONRODKIT AHM CS1 TK2-B,,,0,161555,204500,174000,184500,188500,,,
3680,06381-KWW-920,CONRODKIT AHM REVO ABS/BLADE,,,0,137460,174000,148000,157000,160500,,,
3679,06381-KWW-A80,CONRODKIT AHM REVO ABS FIT T2-B,,,0,121265,153500,130500,138500,141500,,,
3672,06381-KZL-A00,CONRODKIT AHM BEAT FI TK2-B,,,0,145360,184000,156400,166000,169500,,,
3684,06381-KZR-600,CONRODKIT AHM VARIO 125 CBS TK2-B,,,0,125215,158500,135000,143000,146000,,,
4982,06401-K15-900,GIR SET AHM CB 150R TK3-B1-6,,AHM,0,273735,346500,294550,312000,319000,,,
5000,06401-K18-900,GIR SET AHM VERZA TK3-B1-6,,AHM,1,251220,318000,270500,286200,293000,,,
4997,06401-K41-N01,GIR SET AHM SUPRAX 125 FI/ BLADE NEW FI TK3-F-1-14,,,2,178540,226000,192250,203500,208000,,,
4985,06401-K45-N01,GIR SET AHM CBR NEW TK3-B1-6,,AHM,0,284400,360000,306000,324000,331500,,,
4983,06401-K45-N41,GIR SET AHM CBR 150 NEW 2 PANJANG,,,0,282030,357000,303500,321500,328500,,,
4984,06401-K45-NA0,GIR SET AHM CBR LED LUBANG 6,,,1,308890,391000,332400,351900,360000,,,
4993,06401-K56-N00,GIR SET AHM SONIC NEW TK3-G-1-17,,AHM,1,256750,325000,276300,292500,299000,,,
4994,06401-K56-N11,GIR SET AHM SUPRA 150 GTR TK3-G-2-17,,AHM,1,274920,348000,299000,313500,320500,,,
4986,06401-K84-900,GIR SET AHM CRF,,,0,343650,435000,369800,391500,400500,,,
4999,06401-KCJ-691,GIR SET AHM TIGER TK3-G-1-17,,AHM,0,347995,440500,374500,396500,405500,,,
4991,06401-KEH-900,GIR SET AHM PRO NEOTECH TK3-,,AHM,1,260700,330000,280500,297000,304000,,,
4996,06401-KEV-881,GIR SET AHM SUPRA TK3-C-2-13,,AHM,2,186045,235500,200200,212000,217000,,,
4989,06401-KPH-881,GIR SET AHM KARISMA/SUPRA X 125 TK3F114,,ASTRA MOTOR,2,164925,207500,176000,186500,190500,,,
4995,06401-KTL-700,GIR SET AHM SUPRA FIT NEW TK3-B-2-6,,,2,182095,230500,196000,207500,212500,,,
4981,06401-KWB-900,GIR SET AHM BLADE TK3-B-3-6,,AHM,2,171825,217500,185000,196000,200500,,,
4987,06401-KWC-900,GIR SET AHM CS1/ SONIC OLD TK3-G-1-17,,AHM,1,265835,336500,286100,303000,310000,,,
4992,06401-KWW-900,GIR SET AHM REVO ABSOLUTE TK3-B-3-6,,ASTRA MOTOR,2,164320,208000,177000,187500,191500,,,
4990,06401-KYE-900,GIR SET AHM MEGAPRO MONO TK3-B1-6,,AHM,1,262280,332000,282500,299000,305500,,,
4998,06401-KYZ-900,GIR SET AHM SUPRAX 125 HELM IN TK3-B-3-6,,AHM,1,175380,222000,189000,200000,204500,,,
9843,06410-KSP-900,KARET ANGKAT AHM CBR 150,,,0,48980,62000,52700,56000,57500,,,
4211,06435-K07-901,DISCPAD BLK AHM BLADE N/FU 150,,,0,41080,52000,44200,46800,48000,,,
4215,06435-K56-N01,DISCPAD BLK AHM SONIC 150/MEGAPRO MONO/CB150R,,AHM,0,70705,89500,76100,80600,82500,,,
4214,06435-K97-N01,DISCPAD BLK AHM PCX,,,0,112180,142000,120700,127800,131000,,,
4216,06435-KPP-901,DISCPAD BLK AHM SUPRAX 125,,,0,43845,55500,47200,50000,51500,,,
4212,06435-KRE-G31,DISCPAD BLK AHM CB150R/MEGAPRO MONO,,AHM,0,65175,82500,70150,74500,76000,,,
4213,06435-KSP-B01,DISCPAD BLK AHM MEGAPRO MONO/CB150R,,AHM,0,58065,73500,62500,66200,68000,,,
4235,06435-KSP-B01-IP,DISCPAD BLK IP MEGAPRO MONO,,INDOPARTS,10,16560,23000,19600,20700,21500,,,
4267,06455-K46-N21,DISCPAD DPN AHM VARIO FI 110/BEAT FI,,AHM,0,52140,66000,56100,59400,61000,,,
4263,06455-K56-N01,DISCPAD DPN AHM SONIC 150/SUPRA 150 GTR,,AHM,0,50165,63500,54000,57200,58500,,,
4266,06455-K59-A71,DISCPAD DPN AHM VARIO 150ESP/125ESP,,AHM,0,75445,95500,81200,86000,88000,,,
4346,06455-K59-A71-IP,DISCPAD DPN IP VARIO 150 ESP,,INDOPARTS,20,15840,22000,18700,19800,20500,,,
4261,06455-K84-901,DISCPAD DPN AHM NEW PCX/CRF 150,,AHM,0,58320,72500,62500,66500,67500,,,
4265,06455-KPP-901,DISCPAD DPN AHM TIGER NEW/MEGAPRO NEW,,ASTRA MOTOR,0,45030,57000,48500,51300,52500,,,
4345,06455-KPP-N01-IP,DISCPAD DPN IP TIGER NEW/ MEGAPRO NEW,,,10,15120,21000,17900,18900,19500,,,
4259,06455-KPP-N02,DISCPAD DPN AHM CBR,,,0,51745,65500,55700,59000,60500,,,
4343,06455-KR3-403-IP,DISCPAD DPN IP SUPRA/TIGER/MEGAPRO,,INDOPARTS,5,13650,19500,16600,17600,18000,,,
4264,06455-KR3-404,DISCPAD DPN AHM SUPRA X/KARISMA/SUPRAX125,,AHM,0,46610,59000,50200,53100,54500,,,
4262,06455-KRE-K02,DISCPAD DPN AHM PCX/ADV,,,5,102305,129500,110100,116600,119500,,,
4269,06455-KVB-401,DISCPAD DPN AHM VARIO/CRF 150,,AHM,0,49375,62500,53200,56300,57500,,,
4348,06455-KVB-401-IP,DISCPAD DPN IP VARIO OLD,,INDOPARTS,0,16560,23000,19600,20700,21500,,,
